,Region_Tech_Desc,Category,Data_Type,Year,Electricity_Output_GWh,Grid_Connection,Miscellaneous
3678,South America,Total Renewable,Electricity Generation (GWh),All,2000.0,State of Palestine (the),-
3679,South America,Total Renewable,Electricity Generation (GWh),On-grid,2000.0,State of Palestine (the),-
3680,South America,Total Renewable,Electricity Generation (GWh),Off-grid,2000.0,State of Palestine (the),-
3681,South America,Total Renewable,Electricity Installed Capacity (MW),All,2000.0,State of Palestine (the),-
3682,South America,Total Renewable,Electricity Installed Capacity (MW),On-grid,2000.0,State of Palestine (the),-
3683,South America,Total Renewable,Electricity Installed Capacity (MW),Off-grid,2000.0,State of Palestine (the),-
3684,South America,Solar photovoltaic,Electricity Generation (GWh),All,2000.0,State of Palestine (the),-
3685,South America,Solar photovoltaic,Electricity Generation (GWh),On-grid,2000.0,State of Palestine (the),-
3686,South America,Solar photovoltaic,Electricity Generation (GWh),Off-grid,2000.0,State of Palestine (the),-
3687,South America,Solar photovoltaic,Electricity Installed Capacity (MW),All,2000.0,State of Palestine (the),-
3688,South America,Solar photovoltaic,Electricity Installed Capacity (MW),On-grid,2000.0,State of Palestine (the),-
3689,South America,Solar photovoltaic,Electricity Installed Capacity (MW),Off-grid,2000.0,State of Palestine (the),-
3690,South America,Solar thermal energy,Electricity Generation (GWh),All,2000.0,State of Palestine (the),-
3691,South America,Solar thermal energy,Electricity Generation (GWh),On-grid,2000.0,State of Palestine (the),-
3692,South America,Solar thermal energy,Electricity Generation (GWh),Off-grid,2000.0,State of Palestine (the),-
3693,South America,Solar thermal energy,Electricity Installed Capacity (MW),All,2000.0,State of Palestine (the),-
3694,South America,Solar thermal energy,Electricity Installed Capacity (MW),On-grid,2000.0,State of Palestine (the),-
3695,South America,Solar thermal energy,Electricity Installed Capacity (MW),Off-grid,2000.0,State of Palestine (the),-
7710,South America,Onshore wind energy,Electricity Generation (GWh),All,2000.0,State of Palestine (the),-
7711,South America,Onshore wind energy,Electricity Generation (GWh),On-grid,2000.0,State of Palestine (the),-
7712,South America,Onshore wind energy,Electricity Generation (GWh),Off-grid,2000.0,State of Palestine (the),-
7713,South America,Onshore wind energy,Electricity Installed Capacity (MW),All,2000.0,State of Palestine (the),-
7714,South America,Onshore wind energy,Electricity Installed Capacity (MW),On-grid,2000.0,State of Palestine (the),-
7715,South America,Onshore wind energy,Electricity Installed Capacity (MW),Off-grid,2000.0,State of Palestine (the),-
7716,South America,Offshore wind energy,Electricity Generation (GWh),All,2000.0,State of Palestine (the),-
7717,South America,Offshore wind energy,Electricity Generation (GWh),On-grid,2000.0,State of Palestine (the),-
7718,South America,Offshore wind energy,Electricity Generation (GWh),Off-grid,2000.0,State of Palestine (the),-
7719,South America,Offshore wind energy,Electricity Installed Capacity (MW),All,2000.0,State of Palestine (the),-
7720,South America,Offshore wind energy,Electricity Installed Capacity (MW),On-grid,2000.0,State of Palestine (the),-
7721,South America,Offshore wind energy,Electricity Installed Capacity (MW),Off-grid,2000.0,State of Palestine (the),-
7722,South America,Renewable hydropower,Electricity Generation (GWh),All,2000.0,State of Palestine (the),-
7723,South America,Renewable hydropower,Electricity Generation (GWh),On-grid,2000.0,State of Palestine (the),-
7724,South America,Renewable hydropower,Electricity Generation (GWh),Off-grid,2000.0,State of Palestine (the),-
7725,South America,Renewable hydropower,Electricity Installed Capacity (MW),All,2000.0,State of Palestine (the),-
7726,South America,Renewable hydropower,Electricity Installed Capacity (MW),On-grid,2000.0,State of Palestine (the),-
7727,South America,Renewable hydropower,Electricity Installed Capacity (MW),Off-grid,2000.0,State of Palestine (the),-
9450,South America,Renewable municipal waste,Electricity Generation (GWh),All,2000.0,State of Palestine (the),-
9451,South America,Renewable municipal waste,Electricity Generation (GWh),On-grid,2000.0,State of Palestine (the),-
9452,South America,Renewable municipal waste,Electricity Generation (GWh),Off-grid,2000.0,State of Palestine (the),-
9453,South America,Renewable municipal waste,Electricity Installed Capacity (MW),All,2000.0,State of Palestine (the),-
9454,South America,Renewable municipal waste,Electricity Installed Capacity (MW),On-grid,2000.0,State of Palestine (the),-
9455,South America,Renewable municipal waste,Electricity Installed Capacity (MW),Off-grid,2000.0,State of Palestine (the),-
